Symbol,Date,Close
MSFT,2019-08-16,136.13
MSFT,2019-08-19,138.41
MSFT,2019-08-20,137.26
MSFT,2019-08-21,138.79
MSFT,2019-08-22,137.78
MSFT,2019-08-23,133.39
MSFT,2019-08-26,135.45
MSFT,2019-08-27,135.74
MSFT,2019-08-28,135.56
MSFT,2019-08-29,138.12
MSFT,2019-09-03,136.04
MSFT,2019-09-04,137.63
MSFT,2019-09-05,140.05
MSFT,2019-09-06,139.1
MSFT,2019-09-09,137.52
MSFT,2019-09-10,136.08
MSFT,2019-09-11,136.12
MSFT,2019-09-12,137.52
MSFT,2019-09-13,137.32
MSFT,2019-09-16,136.33
MSFT,2019-09-17,137.39
MSFT,2019-09-18,138.52
MSFT,2019-09-19,141.07
MSFT,2019-09-20,139.44
MSFT,2019-09-23,139.14
MSFT,2019-09-24,137.38
MSFT,2019-09-25,139.36
MSFT,2019-09-26,139.54
MSFT,2019-09-27,137.73
NKE,2019-03-20,86.69
NKE,2019-03-21,88.01
NKE,2019-03-22,82.19
NKE,2019-03-25,82.33
NKE,2019-03-26,83.38
NKE,2019-03-27,83.09
NKE,2019-03-28,84.04
NKE,2019-03-29,84.21
NKE,2019-04-01,85.23
NKE,2019-04-02,84.37
NKE,2019-04-03,84.47
NKE,2019-04-04,85.28
NKE,2019-04-05,85.4
NKE,2019-04-08,84.73
NKE,2019-04-09,84.28
NKE,2019-04-10,84.88
NKE,2019-04-11,85
NKE,2019-04-12,86.24
NKE,2019-04-15,86.83
NKE,2019-04-16,87.8
NKE,2019-04-17,88.73
NKE,2019-04-22,87.36
NKE,2019-04-23,87.43
NKE,2019-04-24,88.39
NKE,2019-04-25,87.56
NKE,2019-04-26,88.31
NKE,2019-04-29,88.26
NKE,2019-04-30,87.83
NKE,2019-05-01,85.9
NKE,2019-05-02,85.27
NKE,2019-05-03,85.7
NKE,2019-05-06,83.57
NKE,2019-05-07,82.54
NKE,2019-05-08,82.77
NKE,2019-05-09,82.98
NKE,2019-05-10,83.95
NKE,2019-05-13,82.53
NKE,2019-05-14,83.67
NKE,2019-05-15,84.01
NKE,2019-05-16,84.28
NKE,2019-05-17,84.57
NKE,2019-05-20,82.85
NKE,2019-05-21,83.64
NKE,2019-05-22,83.2
NKE,2019-05-23,82.64
NKE,2019-05-28,81.2
NKE,2019-05-29,78.87
NKE,2019-05-30,79.26
NKE,2019-05-31,77.14
NKE,2019-06-03,77.96
NKE,2019-06-04,81.62
NKE,2019-06-05,82.72
NKE,2019-06-06,82.45
NKE,2019-06-07,83.41
NKE,2019-06-10,82.58
NKE,2019-06-11,83.26
NKE,2019-06-12,82.63
NKE,2019-06-13,83.61
NKE,2019-06-14,83.44
NKE,2019-06-17,82.11
NKE,2019-06-18,84.3
NKE,2019-06-19,83.55
NKE,2019-06-20,85.24
NKE,2019-06-21,85.75
NKE,2019-06-24,84.5
NKE,2019-06-25,82.62
NKE,2019-06-26,82.55
NKE,2019-06-27,83.66
NKE,2019-06-28,83.95
NKE,2019-07-01,85.41
NKE,2019-07-02,84.96
NKE,2019-07-05,86.82
NKE,2019-07-08,88.48
NKE,2019-07-09,88.04
NKE,2019-07-10,87.44
NKE,2019-07-11,88.29
NKE,2019-07-12,89.12
NKE,2019-07-15,89.48
NKE,2019-07-16,88.6
NKE,2019-07-17,87.5
NKE,2019-07-18,87.44
NKE,2019-07-19,86.55
NKE,2019-07-22,85.97
NKE,2019-07-23,86.7
NKE,2019-07-24,86.7
NKE,2019-07-25,87.28
NKE,2019-07-26,87.54
NKE,2019-07-29,87.62
NKE,2019-07-30,87.2
NKE,2019-07-31,86.03
NKE,2019-08-01,83.12
NKE,2019-08-02,81.14
NKE,2019-08-05,78.97
NKE,2019-08-06,81.3
NKE,2019-08-07,81.28
NKE,2019-08-08,83
NKE,2019-08-09,81.98
NKE,2019-08-12,81.65
NKE,2019-08-13,83.32
NKE,2019-08-14,81.03
NKE,2019-08-15,79.51
NKE,2019-08-16,80.28
NKE,2019-08-19,81.13
NKE,2019-08-20,80.53
NKE,2019-08-21,82.74
NKE,2019-08-22,83.31
NKE,2019-08-23,80.44
NKE,2019-08-26,82.25
NKE,2019-08-27,82.03
NKE,2019-08-28,83.48
NKE,2019-08-29,85.38
NKE,2019-09-03,84.67
NKE,2019-09-04,86.35
NKE,2019-09-05,88.42
NKE,2019-09-06,88.69
NKE,2019-09-09,88.67
